Response,Cooperative_tendencies,Group,Sex,Observation_effort,Individual
6,0.583531992,Ekalakala,female,8.517593111,Ind3
0,-0.658826443,Ekalakala,female,8.475746002,Ind23
0,-0.037647225,Ekalakala,female,8.345930262,Ind2
3,1.618830689,Ekalakala,female,8.420462002,Ind14
0,2.032950167,Ekalakala,male,8.428143375,Ind27
1,-0.658826443,Ekalakala,female,8.629449874,Ind30
0,-0.865886182,Ekalakala,female,8.562740006,Ind7
0,1.825890428,Ekalakala,male,8.542860938,Ind19
0,-1.280005661,Ekalakala,male,7.971085754,Ind12
0,-1.280005661,Ekalakala,female,7.932362154,Ind26
0,-1.280005661,Ekalakala,female,7.952615112,Ind21
0,-0.195255101,Kokoalongo,male,7.898411093,Ind4
0,0.618307819,Kokoalongo,female,7.890956716,Ind1
0,-0.737630381,Kokoalongo,female,8.03592637,Ind18
0,-0.520680269,Kokoalongo,female,7.901377354,Ind10
0,-1.171530605,Kokoalongo,male,7.436617265,Ind9
0,1.703058379,Kokoalongo,female,8.0730912,Ind17
0,-0.954580493,Kokoalongo,male,7.601402335,Ind22
0,-0.791867909,Kokoalongo,male,8.154500175,Ind16
2,-0.249492629,Kokoalongo,female,8.151044946,Ind28
0,-1.117293077,Kokoalongo,female,7.091742115,Ind15
0,1.269158155,Kokoalongo,female,8.095293777,Ind6
0,0.672545347,Kokoalongo,female,7.983098941,Ind20
1,0.292882651,Kokoalongo,female,7.867488569,Ind24
3,0.781020403,Kokoalongo,female,7.950854858,Ind8
0,-1.225768133,Kokoalongo,male,7.560601163,Ind31
0,-1.280005661,Kokoalongo,male,7.333023014,Ind25
0,-0.141017573,Kokoalongo,male,8.14786713,Ind13
2,1.865770963,Kokoalongo,female,8.169619562,Ind29
1,0.943732987,Kokoalongo,female,7.989899375,Ind11
1,0.238645123,Kokoalongo,female,8.021912779,Ind5
18,0.447609341,Ekalakala,female,8.021912779,Ind3
1,-0.718530785,Ekalakala,female,8.021912779,Ind23
10,0.404418966,Ekalakala,female,8.021912779,Ind2
56,2.434366594,Ekalakala,female,8.021912779,Ind14
1,0.102086341,Ekalakala,male,8.021912779,Ind27
10,0.188467091,Ekalakala,female,8.021912779,Ind30
0,-1.02086341,Ekalakala,female,8.021912779,Ind7
4,-0.070675159,Ekalakala,male,8.021912779,Ind19
4,0.145276716,Ekalakala,male,8.021912779,Ind12
1,-0.93448266,Ekalakala,female,8.021912779,Ind26
0,-0.977673035,Ekalakala,female,8.021912779,Ind21
4,-0.446210625,Kokoalongo,male,8.021912779,Ind4
4,-0.211705771,Kokoalongo,female,8.021912779,Ind1
0,-0.889164238,Kokoalongo,female,8.021912779,Ind18
1,-0.42015453,Kokoalongo,female,8.021912779,Ind10
0,-1.149725186,Kokoalongo,male,8.021912779,Ind9
2,-0.055369202,Kokoalongo,female,8.021912779,Ind17
1,-0.863108143,Kokoalongo,male,8.021912779,Ind16
10,0.231247842,Kokoalongo,female,8.021912779,Ind28
14,0.960818499,Kokoalongo,female,8.021912779,Ind6
13,0.622089265,Kokoalongo,female,8.021912779,Ind20
17,0.179135652,Kokoalongo,female,8.021912779,Ind24
11,0.335472222,Kokoalongo,female,8.021912779,Ind8
0,-1.253949566,Kokoalongo,male,8.021912779,Ind31
16,2.107286673,Kokoalongo,female,8.021912779,Ind29
8,0.882650214,Kokoalongo,female,8.021912779,Ind11
4,-0.029313107,Kokoalongo,female,8.021912779,Ind5
