Response,Cooperative_tendencies,Group,Sex,Observation_effort,Individual
4,1.737790148,Ekalakala,female,8.517593111,Ind3
0,-0.449577551,Ekalakala,female,8.475746002,Ind23
0,0.40634894,Ekalakala,female,8.345930262,Ind2
1,-0.544680494,Ekalakala,female,8.420462002,Ind14
0,-0.449577551,Ekalakala,male,8.428143375,Ind27
3,1.262275431,Ekalakala,female,8.629449874,Ind30
0,-0.639783438,Ekalakala,female,8.562740006,Ind7
2,0.12104011,Ekalakala,male,8.542860938,Ind19
0,-0.925092268,Ekalakala,male,7.971085754,Ind12
0,-0.069165777,Ekalakala,female,7.932362154,Ind26
1,-0.449577551,Ekalakala,female,7.952615112,Ind21
0,-0.964582188,Kokoalongo,male,7.898411093,Ind4
0,-0.36171832,Kokoalongo,female,7.890956716,Ind1
0,-0.512434287,Kokoalongo,female,8.03592637,Ind18
0,0.241145547,Kokoalongo,female,7.901377354,Ind10
0,-1.115298155,Kokoalongo,male,7.436617265,Ind9
0,-0.512434287,Kokoalongo,female,8.0730912,Ind17
1,-0.512434287,Kokoalongo,male,7.601402335,Ind22
0,-0.964582188,Kokoalongo,male,8.154500175,Ind16
0,2.351169083,Kokoalongo,female,8.151044946,Ind28
0,-1.115298155,Kokoalongo,female,7.091742115,Ind15
1,0.391861514,Kokoalongo,female,8.095293777,Ind6
0,0.693293448,Kokoalongo,female,7.983098941,Ind20
0,-0.512434287,Kokoalongo,female,7.867488569,Ind24
0,0.09042958,Kokoalongo,female,7.950854858,Ind8
0,-0.813866221,Kokoalongo,male,7.560601163,Ind31
0,-1.115298155,Kokoalongo,male,7.333023014,Ind25
1,-1.115298155,Kokoalongo,male,8.14786713,Ind13
3,1.748305216,Kokoalongo,female,8.169619562,Ind29
1,0.542577481,Kokoalongo,female,7.989899375,Ind11
1,3.556896818,Kokoalongo,female,8.021912779,Ind5
3,0.042086723,Ekalakala,female,8.021912779,Ind3
0,-0.960980171,Ekalakala,female,8.021912779,Ind23
0,1.508107568,Ekalakala,female,8.021912779,Ind2
0,-0.575185212,Ekalakala,female,8.021912779,Ind14
0,-0.266549245,Ekalakala,male,8.021912779,Ind27
3,1.045153617,Ekalakala,female,8.021912779,Ind30
0,-0.189390253,Ekalakala,female,8.021912779,Ind7
4,0.119245715,Ekalakala,male,8.021912779,Ind19
0,-0.883821179,Ekalakala,male,8.021912779,Ind12
2,0.505040674,Ekalakala,female,8.021912779,Ind26
1,-0.343708236,Ekalakala,female,8.021912779,Ind21
0,-0.897679003,Kokoalongo,male,8.021912779,Ind4
1,0.952083791,Kokoalongo,female,8.021912779,Ind1
0,-0.244821546,Kokoalongo,female,8.021912779,Ind18
0,0.190416758,Kokoalongo,female,8.021912779,Ind10
0,-1.006488579,Kokoalongo,male,8.021912779,Ind9
0,-0.462440698,Kokoalongo,female,8.021912779,Ind17
0,-1.006488579,Kokoalongo,male,8.021912779,Ind16
1,0.190416758,Kokoalongo,female,8.021912779,Ind28
0,0.190416758,Kokoalongo,female,8.021912779,Ind6
5,2.584227432,Kokoalongo,female,8.021912779,Ind20
0,-0.68005985,Kokoalongo,female,8.021912779,Ind24
1,0.952083791,Kokoalongo,female,8.021912779,Ind8
0,-1.006488579,Kokoalongo,male,8.021912779,Ind31
0,0.081607182,Kokoalongo,female,8.021912779,Ind29
1,-0.027202394,Kokoalongo,female,8.021912779,Ind11
0,0.190416758,Kokoalongo,female,8.021912779,Ind5
