Response,Joint_cooperation_score,Food_sharing,Coalition,Sex_combination,Observation_effort,Individual1,Individual2,Dyad
0,0.226735791,-0.223848431,-0.311082799,F_M,4.158883083,Ind3,Ind4,Ind3_Ind4
0,-0.032285402,-0.223848431,-0.311082799,F_F,3.912023005,Ind1,Ind3,Ind1_Ind3
0,-0.597558336,-0.223848431,-0.311082799,F_F,4.248495242,Ind3,Ind18,Ind3_Ind18
0,0.414112823,-0.223848431,-0.311082799,F_F,3.871201011,Ind3,Ind10,Ind3_Ind10
0,-0.720656497,-0.223848431,-0.311082799,F_M,3.433987204,Ind9,Ind3,Ind3_Ind9
1,-0.18669891,-0.223848431,-0.311082799,F_F,4.290459441,Ind3,Ind17,Ind3_Ind17
0,-0.300217047,-0.223848431,-0.311082799,F_M,3.465735903,Ind22,Ind3,Ind3_Ind22
0,-0.539408619,-0.223848431,-0.311082799,F_M,4.17438727,Ind3,Ind16,Ind3_Ind16
2,-0.64726115,-0.223848431,2.888703644,F_F,5.384495063,Ind28,Ind3,Ind3_Ind28
0,-0.986836955,-0.223848431,-0.311082799,F_F,3.871201011,Ind3,Ind15,Ind3_Ind15
0,-1.210679886,-0.223848431,-0.311082799,F_F,5.669880923,Ind6,Ind3,Ind3_Ind6
1,-0.427384142,3.579975342,-0.311082799,F_F,4.905274778,Ind20,Ind3,Ind3_Ind20
0,-0.961187212,-0.223848431,3.303183754,F_F,5.262690189,Ind24,Ind3,Ind3_Ind24
0,-1.062138005,-0.223848431,3.994802662,F_F,5.087596335,Ind3,Ind8,Ind3_Ind8
0,-1.16432493,-0.223848431,-0.311082799,F_M,4.49980967,Ind3,Ind31,Ind3_Ind31
0,-1.192395431,-0.223848431,-0.311082799,F_M,4.691347882,Ind3,Ind25,Ind3_Ind25
0,1.871770164,-0.223848431,-0.311082799,F_M,4.86753445,Ind3,Ind13,Ind3_Ind13
4,0.194338827,4.280679722,2.748362134,F_F,5.429345629,Ind3,Ind29,Ind3_Ind29
3,1.668838468,4.786065807,3.091616931,F_F,5.323009979,Ind3,Ind11,Ind3_Ind11
0,0.218082866,-0.223848431,3.629897114,F_F,5.176149733,Ind3,Ind5,Ind3_Ind5
1,1.04543425,-0.223848431,-0.311082799,F_M,3.761200116,Ind23,Ind4,Ind4_Ind23
1,0.786413058,-0.223848431,-0.311082799,F_F,3.33220451,Ind1,Ind23,Ind1_Ind23
0,0.221140124,-0.223848431,-0.311082799,F_F,3.80666249,Ind23,Ind18,Ind18_Ind23
0,1.232811283,-0.223848431,-0.311082799,F_F,3.526360525,Ind10,Ind23,Ind10_Ind23
0,0.098041963,-0.223848431,-0.311082799,F_M,3.218875825,Ind23,Ind9,Ind9_Ind23
0,0.631999549,-0.223848431,-0.311082799,F_F,3.737669618,Ind23,Ind17,Ind17_Ind23
0,0.518481413,-0.223848431,-0.311082799,F_M,3.218875825,Ind23,Ind22,Ind22_Ind23
0,0.27928984,-0.223848431,-0.311082799,F_M,3.784189634,Ind16,Ind23,Ind16_Ind23
