Response,Joint_cooperation_score,Grooming,Coalition,Sex_combination,Observation_effort,Individual1,Individual2,Dyad
0,0.573026222,-0.51459561,-0.311082799,F_M,4.158883083,Ind3,Ind4,Ind3_Ind4
0,1.019810039,-0.51459561,-0.311082799,F_F,3.912023005,Ind1,Ind3,Ind1_Ind3
0,0.908114085,-0.51459561,-0.311082799,F_F,4.248495242,Ind3,Ind18,Ind3_Ind18
0,1.466593856,-0.51459561,-0.311082799,F_F,3.871201011,Ind3,Ind10,Ind3_Ind10
0,0.461330267,-0.51459561,-0.311082799,F_M,3.433987204,Ind9,Ind3,Ind3_Ind9
0,0.908114085,0.0324183,-0.311082799,F_F,4.290459441,Ind3,Ind17,Ind3_Ind17
0,0.908114085,-0.51459561,-0.311082799,F_M,3.465735903,Ind22,Ind3,Ind3_Ind22
0,0.573026222,-0.51459561,-0.311082799,F_M,4.17438727,Ind3,Ind16,Ind3_Ind16
0,3.030337217,0.57943221,2.888703644,F_F,5.384495063,Ind28,Ind3,Ind3_Ind28
0,0.461330267,-0.51459561,-0.311082799,F_F,3.871201011,Ind3,Ind15,Ind3_Ind15
0,1.578289811,-0.51459561,-0.311082799,F_F,5.669880923,Ind6,Ind3,Ind3_Ind6
1,1.801681719,0.0324183,-0.311082799,F_F,4.905274778,Ind20,Ind3,Ind3_Ind20
0,0.908114085,-0.51459561,3.303183754,F_F,5.262690189,Ind24,Ind3,Ind3_Ind24
0,1.354897902,-0.51459561,3.994802662,F_F,5.087596335,Ind3,Ind8,Ind3_Ind8
0,0.684722176,-0.51459561,-0.311082799,F_M,4.49980967,Ind3,Ind31,Ind3_Ind31
0,0.461330267,-0.51459561,-0.311082799,F_M,4.691347882,Ind3,Ind25,Ind3_Ind25
0,0.461330267,-0.51459561,-0.311082799,F_M,4.86753445,Ind3,Ind13,Ind3_Ind13
2,2.583553399,1.673460031,2.748362134,F_F,5.429345629,Ind3,Ind29,Ind3_Ind29
2,1.689985765,1.12644612,3.091616931,F_F,5.323009979,Ind3,Ind11,Ind3_Ind11
0,3.923904851,-0.51459561,3.629897114,F_F,5.176149733,Ind3,Ind5,Ind3_Ind5
0,-1.048037078,0.0324183,-0.311082799,F_M,3.761200116,Ind23,Ind4,Ind4_Ind23
0,-0.601253261,0.0324183,-0.311082799,F_F,3.33220451,Ind1,Ind23,Ind1_Ind23
0,-0.712949215,-0.51459561,-0.311082799,F_F,3.80666249,Ind23,Ind18,Ind18_Ind23
0,-0.154469444,-0.51459561,-0.311082799,F_F,3.526360525,Ind10,Ind23,Ind10_Ind23
0,-1.159733033,-0.51459561,-0.311082799,F_M,3.218875825,Ind23,Ind9,Ind9_Ind23
0,-0.712949215,-0.51459561,-0.311082799,F_F,3.737669618,Ind23,Ind17,Ind17_Ind23
0,-0.712949215,-0.51459561,-0.311082799,F_M,3.218875825,Ind23,Ind22,Ind22_Ind23
0,-1.048037078,-0.51459561,-0.311082799,F_M,3.784189634,Ind16,Ind23,Ind16_Ind23
0,1.409273917,-0.51459561,-0.311082799,F_F,4.997212274,Ind23,Ind28,Ind23_Ind28
0,-1.159733033,-0.51459561,-0.311082799,F_F,3.610917913,Ind15,Ind23,Ind15_Ind23
0,-0.042773489,-0.51459561,-0.311082799,F_F,5.323009979,Ind23,Ind6,Ind6_Ind23
0,0.180618419,-0.51459561,-0.311082799,F_F,4.553876892,Ind23,Ind20,Ind20_Ind23
0,-0.712949215,-0.51459561,-0.311082799,F_F,4.983606622,Ind24,Ind23,Ind23_Ind24
0,-0.266165398,-0.51459561,-0.311082799,F_F,4.727387819,Ind8,Ind23,Ind8_Ind23
0,-0.936341124,-0.51459561,-0.311082799,F_M,4.158883083,Ind31,Ind23,Ind23_Ind31
0,-1.159733033,-0.51459561,-0.311082799,F_M,4.406719247,Ind23,Ind25,Ind23_Ind25
0,-1.159733033,-0.51459561,-0.311082799,F_M,4.369447852,Ind13,Ind23,Ind13_Ind23
0,0.962490099,0.0324183,-0.311082799,F_F,5.023880521,Ind23,Ind29,Ind23_Ind29
0,0.068922465,-0.51459561,-0.311082799,F_F,4.990432587,Ind11,Ind23,Ind11_Ind23
1,2.302841551,-0.51459561,-0.311082799,F_F,4.753590191,Ind5,Ind23,Ind5_Ind23
0,-0.413707961,-0.51459561,-0.311082799,F_M,3.583518938,Ind4,Ind2,Ind2_Ind4
0,0.033075856,-0.51459561,-0.311082799,F_F,3.258096538,Ind1,Ind2,Ind1_Ind2
0,-0.078620098,-0.51459561,-0.311082799,F_F,3.555348061,Ind18,Ind2,Ind2_Ind18
0,0.479859674,-0.51459561,-0.311082799,F_F,3.295836866,Ind10,Ind2,Ind2_Ind10
0,-0.525403915,-0.51459561,-0.311082799,F_M,2.772588722,Ind9,Ind2,Ind2_Ind9
0,-0.078620098,-0.51459561,-0.311082799,F_F,3.663561646,Ind17,Ind2,Ind2_Ind17
0,-0.078620098,-0.51459561,-0.311082799,F_M,2.995732274,Ind22,Ind2,Ind2_Ind22
0,-0.413707961,-0.51459561,-0.311082799,F_M,3.526360525,Ind16,Ind2,Ind2_Ind16
0,2.043603034,0.0324183,-0.311082799,F_F,4.691347882,Ind28,Ind2,Ind2_Ind28
0,-0.525403915,-0.51459561,-0.311082799,F_F,3.17805383,Ind2,Ind15,Ind2_Ind15
0,0.591555628,-0.51459561,-0.311082799,F_F,5.087596335,Ind2,Ind6,Ind2_Ind6
0,0.814947537,-0.51459561,-0.311082799,F_F,4.304065093,Ind20,Ind2,Ind2_Ind20
0,-0.078620098,-0.51459561,-0.311082799,F_F,4.795790546,Ind24,Ind2,Ind2_Ind24
0,0.368163719,-0.51459561,-0.311082799,F_F,4.634728988,Ind2,Ind8,Ind2_Ind8
0,-0.302012007,-0.51459561,-0.311082799,F_M,4.007333185,Ind31,Ind2,Ind2_Ind31
0,-0.525403915,-0.51459561,-0.311082799,F_M,4.007333185,Ind25,Ind2,Ind2_Ind25
0,-0.525403915,-0.51459561,-0.311082799,F_M,4.219507705,Ind2,Ind13,Ind2_Ind13
0,1.596819217,-0.51459561,-0.311082799,F_F,4.859812404,Ind29,Ind2,Ind2_Ind29
0,0.703251582,-0.51459561,-0.311082799,F_F,4.49980967,Ind2,Ind11,Ind2_Ind11
0,2.937170669,-0.51459561,-0.311082799,F_F,4.543294782,Ind5,Ind2,Ind2_Ind5
0,-1.118518092,-0.51459561,-0.311082799,F_M,4.744932128,Ind14,Ind4,Ind4_Ind14
