In_group.out_degree,In_group.in_degree
0.598789589,0.587290168
1.004643522,0.985349902
1.004643522,0.985349902
1.004643522,0.985349902
1.004643522,0.985349902
1.004643522,0.985349902
1.004643522,0.985349902
1.004643522,0.985349902
0.598789589,0.587290168
1.004643522,0.985349902
1.004643522,0.985349902
0.150214189,-0.062175714
0.150214189,-0.062175714
-1.13142981,-0.900196206
-0.277000477,-0.062175714
-1.558644476,-1.738216699
0.150214189,0.147329409
-0.917822477,-1.319206453
-0.277000477,-0.271680837
-0.917822477,-0.690691083
-1.772251809,-1.947721822
-0.917822477,-0.690691083
0.363821522,0.356834532
-0.277000477,-0.062175714
-0.277000477,-0.062175714
-1.13142981,-1.10970133
-2.840288475,-2.785742314
0.363821522,0.147329409
0.363821522,0.566339655
0.791036189,0.775844778
-0.277000477,-0.271680837
