Out_group.out_degree,Out_group.in_degree
-0.27104669,-0.311096633
-0.27104669,-0.311096633
-0.654560886,-0.867480997
-0.079289592,-0.496558088
-0.462803788,-0.682019542
0.304224604,0.059826276
0.6877388,0.24528773
0.879495898,0.987133548
-0.27104669,0.059826276
1.071252997,0.24528773
0.304224604,-0.125635179
-0.026992201,-0.075054782
-1.421589278,-1.42386536
-1.072940009,-1.086662716
-0.72429074,-0.075054782
-1.421589278,-1.42386536
-0.375641471,-0.075054782
-0.375641471,-0.412257427
-0.72429074,-0.412257427
2.064903414,1.948161085
-1.072940009,-1.086662716
-0.026992201,0.599350507
1.018955606,0.936553151
0.321657068,0.262147862
1.367604875,1.273755796
-0.72429074,-0.749460071
-1.072940009,-1.086662716
-1.072940009,-1.086662716
1.716254145,2.28536373
2.413552683,2.28536373
-0.026992201,0.599350507
